separation_lambda_over_D,coupling_efficiency
3.605,0.00944507827181158
3.61,0.00937301399220268
3.615,0.00930054973660317
3.62,0.00922769994246575
3.625,0.00915447916718389
3.63,0.00908090208090393
3.635,0.00900698345925912
3.64,0.00893273817610077
3.645,0.00885818119618344
3.65,0.00878332756785803
3.655,0.00870819241572528
3.66,0.00863279093328942
3.665,0.00855713837561121
3.67,0.00848125005194388
3.675,0.0084051413183895
3.68,0.00832882757054615
3.685,0.00825232423616839
3.69,0.00817564676786035
3.695,0.00809881063575869
3.7,0.00802183132027202
3.705,0.00794472430481064
3.71,0.00786750506859465
3.715,0.00779018907945089
3.72,0.00771279178667695
3.725,0.00763532861395737
3.73,0.00755781495230389
3.735,0.0074802661530608
3.74,0.00740269752096683
3.745,0.00732512430728065
3.75,0.00724756170296333
3.755,0.00717002483192781
3.76,0.00709252874436798
3.765,0.00701508841016583
3.77,0.00693771871235538
3.775,0.00686043444069659
3.78,0.00678325028532296
3.785,0.00670618083047551
3.79,0.00662924054833369
3.795,0.00655244379294437
3.8,0.00647580479425032
3.805,0.0063993376522123
3.81,0.006323056331048
3.815,0.00624697465358093
3.82,0.00617110629567947
3.825,0.00609546478084202
3.83,0.00602006347487494
3.835,0.00594491558069928
3.84,0.00587003413327814
3.845,0.00579543199467208
3.85,0.00572112184921759
3.855,0.00564711619883604
3.86,0.00557342735847488
3.865,0.00550006745168032
3.87,0.00542704840631447
3.875,0.00535438195039341
3.88,0.00528207960808037
3.885,0.005210152695818
3.89,0.00513861231858583
3.895,0.00506746936633335
3.9,0.00499673451052884
3.905,0.00492641820086904
3.91,0.00485653066213871
3.915,0.00478708189121647
3.92,0.00471808165422198
3.925,0.00464953948383867
3.93,0.00458146467675264
3.935,0.00451386629128111
3.94,0.0044467531451245
3.945,0.00438013381329424
3.95,0.0043140166261757
3.955,0.00424840966776456
3.96,0.00418332077403797
3.965,0.0041187575314962
3.97,0.00405472727585119
3.975,0.00399123709087097
3.98,0.00392829380737369
3.985,0.00386590400238901
3.99,0.00380407399845452
3.995,0.00374280986307882
4,0.00368211740835055
4.005,0.00362200219070003
4.01,0.00356246951081225
4.015,0.00350352441368871
4.02,0.00344517168885575
4.025,0.00338741587072671
4.03,0.00333026123910217
4.035,0.00327371181982153
4.04,0.00321777138555511
4.045,0.00316244345673634
4.05,0.00310773130264308
4.055,0.00305363794260387
4.06,0.00300016614735717
4.065,0.00294731844052931
4.07,0.00289509710026041
4.075,0.00284350416095441
4.08,0.00279254141515623
4.085,0.00274221041556252
4.09,0.002692512477153
4.095,0.0026434486794444
4.1,0.00259501986886675
4.105,0.00254722666125798
4.11,0.00250006944446887
4.115,0.00245354838108713
4.12,0.00240766341127004
4.125,0.00236241425567808
4.13,0.00231780041852484
4.135,0.00227382119071952
4.14,0.0022304756531129
4.145,0.00218776267983819
4.15,0.00214568094174494
4.155,0.00210422890992603
4.16,0.00206340485932585
4.165,0.00202320687244008
4.17,0.00198363284309293
4.175,0.00194468048028957
4.18,0.00190634731214832
4.185,0.00186863068990286
4.19,0.00183152779196956
4.195,0.00179503562808433
4.2,0.00175915104349919
4.205,0.00172387072323423
4.21,0.00168919119639225
4.215,0.00165510884051491
4.22,0.00162161988599748
4.225,0.00158872042053946
4.23,0.0015564063936433
4.235,0.00152467362114807
4.24,0.00149351778979714
4.245,0.00146293446184005
4.25,0.00143291907965804
4.255,0.00140346697041929
4.26,0.00137457335074975
4.265,0.00134623333142436
4.27,0.00131844192207419
4.275,0.00129119403589942
4.28,0.00126448449439422
4.285,0.00123830803207349
4.29,0.00121265930120139
4.295,0.00118753287651619
4.3,0.00116292325995038
4.305,0.00113882488534042
4.31,0.00111523212312505
4.315,0.00109213928502821
4.32,0.00106954062872233
4.325,0.00104743036246933
4.33,0.00102580264973779
4.335,0.00100465161379206
4.34,0.000983971342248034
4.345,0.000963755891598032
4.35,0.000943999291696291
4.355,0.000924695550203939
4.36,0.000905838656994
4.365,0.000887422588508103
4.37,0.000869441312065391
4.375,0.000851888790120538
4.38,0.000834758984468748
4.385,0.000818045860392843
4.39,0.000801743390752965
4.395,0.000785845560012842
4.4,0.00077034636820507
4.405,0.000755239834827878
4.41,0.000740520002674244
4.415,0.000726180941591606
4.42,0.000712216752164981
4.425,0.000698621569330901
4.43,0.000685389565908515
4.435,0.000672514956056278
4.44,0.000659991998644638
4.445,0.00064781500054842
4.45,0.000635978319853975
4.455,0.000624476368979289
4.46,0.000613303617708253
4.465,0.000602454596134698
4.47,0.000591923897515867
4.475,0.000581706181034741
4.48,0.000571796174467608
4.485,0.000562188676758607
4.49,0.000552878560498044
4.495,0.000543860774303713
4.5,0.000535130345105274
4.505,0.000526682380329506
4.51,0.000518512069986182
4.515,0.000510614688654174
4.52,0.000502985597366604
4.525,0.000495620245394221
4.53,0.000488514171927209
4.535,0.000481663007654562
4.54,0.000475062476241406
4.545,0.000468708395702071
4.55,0.000462596679670707
4.555,0.000456723338569042
4.56,0.000451084480670321
4.565,0.000445676313059693
4.57,0.000440495142492255
4.575,0.000435537376147541
4.58,0.000430799522281639
4.585,0.000426278190776288
4.59,0.000421970093587565
4.595,0.000417872045091364
4.6,0.000413980962329258
