# wavelength (nm),inst_bkg (ph/s) 
9.250000000000011369e+02,1.025175543931683431e-87
9.251000000000011596e+02,1.049976624092608422e-87
9.252000000000011823e+02,1.075372121342868771e-87
9.253000000000012051e+02,1.101376148210658991e-87
9.254000000000012278e+02,1.128003149083483724e-87
9.255000000000012506e+02,1.155267907936248881e-87
9.256000000000012733e+02,1.183185556237980724e-87
9.257000000000012960e+02,1.211771581040273031e-87
9.258000000000013188e+02,1.241041833252313328e-87
9.259000000000013415e+02,1.271012536107259056e-87
9.260000000000013642e+02,1.301700293822514622e-87
9.261000000000013870e+02,1.333122129708794634e-87
9.262000000000014097e+02,1.365295408906205941e-87
9.263000000000014325e+02,1.398237932619504463e-87
9.264000000000014552e+02,1.431967919723969632e-87
9.265000000000014779e+02,1.466504016470000228e-87
9.266000000000015007e+02,1.501865306411592873e-87
9.267000000000015234e+02,1.538071320562707428e-87
9.268000000000015461e+02,1.575142047787464841e-87
9.269000000000015689e+02,1.613097945428818376e-87
9.270000000000015916e+02,1.651959950182298303e-87
9.271000000000016144e+02,1.691749540246744470e-87
9.272000000000016371e+02,1.732488596086868158e-87
9.273000000000016598e+02,1.774199560311261509e-87
9.274000000000016826e+02,1.816905400933562754e-87
9.275000000000017053e+02,1.860629623552867445e-87
9.276000000000017280e+02,1.905396283814825903e-87
9.277000000000017508e+02,1.951230000158145294e-87
9.278000000000017735e+02,1.998155966853146409e-87
9.279000000000017963e+02,2.046199967341098475e-87
9.280000000000018190e+02,2.095388387876885178e-87
9.281000000000018417e+02,2.145748313938418843e-87
9.282000000000018645e+02,2.197307301126457343e-87
9.283000000000018872e+02,2.250093629310550192e-87
9.284000000000019099e+02,2.304136238956308654e-87
9.285000000000019327e+02,2.359464746405295606e-87
9.286000000000019554e+02,2.416109459507875280e-87
9.287000000000019782e+02,2.474101393611313300e-87
9.288000000000020009e+02,2.533472287915310110e-87
9.289000000000020236e+02,2.594254622201264489e-87
9.290000000000020464e+02,2.656481633945226326e-87
9.291000000000020691e+02,2.720187463000152548e-87
9.292000000000020918e+02,2.785406794085298468e-87
9.293000000000021146e+02,2.852175244611819802e-87
9.294000000000021373e+02,2.920529262147206595e-87
9.295000000000021600e+02,2.990506143575066116e-87
9.296000000000021828e+02,3.062144054694245552e-87
9.297000000000022055e+02,3.135482050265044037e-87
9.298000000000022283e+02,3.210560094514367163e-87
9.299000000000022510e+02,3.287419082107602530e-87
9.300000000000022737e+02,3.366100859601049169e-87
9.301000000000022965e+02,3.446648414656443203e-87
9.302000000000023192e+02,3.529105404695809394e-87
9.303000000000023419e+02,3.613516665895910616e-87
9.304000000000023647e+02,3.699928077148970581e-87
9.305000000000023874e+02,3.788386584074663681e-87
9.306000000000024102e+02,3.878940223583385957e-87
9.307000000000024329e+02,3.971638148995332708e-87
9.308000000000024556e+02,4.066530655735472970e-87
9.309000000000024784e+02,4.163669207611409177e-87
9.310000000000025011e+02,4.263106463693026373e-87
9.311000000000025238e+02,4.364896480776379038e-87
9.312000000000025466e+02,4.469094224958284210e-87
9.313000000000025693e+02,4.575756108848377552e-87
9.314000000000025921e+02,4.684939854098478320e-87
9.315000000000026148e+02,4.796704521484791475e-87
9.316000000000026375e+02,4.911110541671400815e-87
9.317000000000026603e+02,5.028219746674018694e-87
9.318000000000026830e+02,5.148095402041447883e-87
9.319000000000027057e+02,5.270802239765881843e-87
9.320000000000027285e+02,5.396406491943654802e-87
9.321000000000027512e+02,5.524976107996176282e-87
9.322000000000027740e+02,5.656580250226095726e-87
9.323000000000027967e+02,5.791289861045836213e-87
9.324000000000028194e+02,5.929177525442480655e-87
9.325000000000028422e+02,6.070317508639711760e-87
9.326000000000028649e+02,6.214785794613940394e-87
9.327000000000028876e+02,6.362660125483312883e-87
9.328000000000029104e+02,6.514020041792049805e-87
9.329000000000029331e+02,6.668946923707862937e-87
9.330000000000029559e+02,6.827524033153079495e-87
9.331000000000029786e+02,6.989836738771319146e-87
