# wavelength (nm),inst_bkg (ph/s) 
9.742000000000123237e+02,4.201701664631771676e-15
9.743000000000123464e+02,4.242281717157859258e-15
9.744000000000123691e+02,4.283179584894281979e-15
9.745000000000123919e+02,4.324397468453879447e-15
9.746000000000124146e+02,4.365937582357403277e-15
9.747000000000124373e+02,4.407802155114819456e-15
9.748000000000124601e+02,4.449993429247479284e-15
9.749000000000124828e+02,4.492513661530444821e-15
9.750000000000125056e+02,4.535365122949861999e-15
9.751000000000125283e+02,4.560894901747240672e-15
9.752000000000125510e+02,4.586563050697282406e-15
9.753000000000125738e+02,4.612370290172462735e-15
9.754000000000125965e+02,4.638317344137609850e-15
9.755000000000126192e+02,4.664404940166923482e-15
9.756000000000126420e+02,4.690633809461420563e-15
9.757000000000126647e+02,4.717004686865625152e-15
9.758000000000126875e+02,4.743518310843864749e-15
9.759000000000127102e+02,4.770175423610160180e-15
9.760000000000127329e+02,4.796976771054913604e-15
9.761000000000127557e+02,4.804642395222472456e-15
9.762000000000127784e+02,4.812238756821964687e-15
9.763000000000128011e+02,4.819764882574558751e-15
9.764000000000128239e+02,4.827219791085263176e-15
9.765000000000128466e+02,4.834602492823020449e-15
9.766000000000128694e+02,4.841911989913527690e-15
9.767000000000128921e+02,4.849147276148047435e-15
9.768000000000129148e+02,4.856307337245701523e-15
9.769000000000129376e+02,4.863391150440557634e-15
9.770000000000129603e+02,4.870397684466108446e-15
9.771000000000129830e+02,4.858243156281386269e-15
9.772000000000130058e+02,4.845797119804376398e-15
9.773000000000130285e+02,4.833056816132827402e-15
9.774000000000130512e+02,4.820019466030994536e-15
9.775000000000130740e+02,4.806682269799411433e-15
9.776000000000130967e+02,4.793042407186747515e-15
